file_change_id,commit,function_names,cwes,reason,details,top_candidates
162681928868134,https://github.com/9001/copyparty/commit/007d948cb982daa05bc6619cd20ee55b7e834c38,send_headers,CWE-79,missing_before_or_after_change_match,,copyparty/httpcli.py|score=77|del=0|add=7;copyparty/httpsrv.py|score=0|del=0|add=0;copyparty/util.py|score=0|del=0|add=0
210285990209401,https://github.com/9001/copyparty/commit/007d948cb982daa05bc6619cd20ee55b7e834c38,__init__,CWE-79,missing_before_or_after_change_match,,copyparty/httpsrv.py|score=17|del=0|add=1;copyparty/httpcli.py|score=0|del=0|add=0;copyparty/util.py|score=0|del=0|add=0
125134584176866,https://github.com/PaddlePaddle/Paddle/commit/49bec176053595975c1941cff9749c55f7203ea9,get_online_pass_interval,CWE-78,missing_before_or_after_change_match,,python/paddle/incubate/distributed/fleet/fleet_util.py|score=147|del=0|add=14
221223495544002,https://github.com/Styria-Digital/django-rest-framework-jwt/commit/868b5c22ddad59772b447080183e7c7101bb18e0,check_payload,CWE-287,missing_before_or_after_change_match,,src/rest_framework_jwt/utils.py|score=47|del=0|add=4;tests/views/test_refresh.py|score=1|del=0|add=0
137949249344035,https://github.com/adamghill/django-unicorn/commit/3a832a9e3f6455ddd3b87f646247269918ad10c6,get_frontend_context_variables,CWE-79,missing_before_or_after_change_match,,django_unicorn/components/unicorn_view.py|score=158|del=15|add=0;django_unicorn/views/__init__.py|score=2|del=0|add=0;tests/components/test_component.py|score=2|del=0|add=0;django_unicorn/components/unicorn_template_response.py|score=0|del=0|add=0;tests/components/test_unicorn_template_response.py|score=0|del=0|add=0
9417072845447,https://github.com/adamghill/django-unicorn/commit/3a832a9e3f6455ddd3b87f646247269918ad10c6,_process_component_request,CWE-79,missing_before_or_after_change_match,,django_unicorn/views/__init__.py|score=104|del=0|add=10;django_unicorn/components/unicorn_view.py|score=10|del=1|add=0;django_unicorn/components/unicorn_template_response.py|score=0|del=0|add=0;tests/components/test_component.py|score=0|del=0|add=0;tests/components/test_unicorn_template_response.py|score=0|del=0|add=0
1415630065046,https://github.com/ckan/ckan/commit/5a46989c0a4f2c2873ca182c196da83b82babd25,_group_or_org_create;user_create,CWE-79,missing_before_or_after_change_match,,ckan/logic/action/create.py|score=27|del=0|add=2;ckan/tests/logic/action/test_create.py|score=3|del=0|add=0;ckan/lib/uploader.py|score=0|del=0|add=0
170995577794327,https://github.com/cmusatyalab/opendiamond/commit/398049c187ee644beabab44d6fece82251c1ea56,_get_obj_absolute_path;_get_index_absolute_path,CWE-22,ambiguous_equal_score,,opendiamond/dataretriever/diamond_store.py|score=46|del=2|add=2;opendiamond/dataretriever/mixer_store.py|score=46|del=2|add=2;opendiamond/dataretriever/test_store.py|score=46|del=2|add=2;opendiamond/dataretriever/video_store.py|score=46|del=2|add=2;opendiamond/dataretriever/yfcc100m_mysql_store.py|score=2|del=0|add=0
175930155274416,https://github.com/cmusatyalab/opendiamond/commit/398049c187ee644beabab44d6fece82251c1ea56,_get_index_absolute_path;_get_obj_absolute_path,CWE-22,ambiguous_equal_score,,opendiamond/dataretriever/diamond_store.py|score=46|del=2|add=2;opendiamond/dataretriever/mixer_store.py|score=46|del=2|add=2;opendiamond/dataretriever/test_store.py|score=46|del=2|add=2;opendiamond/dataretriever/video_store.py|score=46|del=2|add=2;opendiamond/dataretriever/yfcc100m_mysql_store.py|score=2|del=0|add=0
251952501056958,https://github.com/cmusatyalab/opendiamond/commit/398049c187ee644beabab44d6fece82251c1ea56,_get_obj_absolute_path;_get_index_absolute_path,CWE-22,ambiguous_equal_score,,opendiamond/dataretriever/diamond_store.py|score=46|del=2|add=2;opendiamond/dataretriever/mixer_store.py|score=46|del=2|add=2;opendiamond/dataretriever/test_store.py|score=46|del=2|add=2;opendiamond/dataretriever/video_store.py|score=46|del=2|add=2;opendiamond/dataretriever/yfcc100m_mysql_store.py|score=2|del=0|add=0
114139613870600,https://github.com/dgilland/pydash/commit/6ff0831ad285fff937cafd2a853f20cc9ae92021,_base_get_object;base_set,CWE-78,missing_before_or_after_change_match,,src/pydash/helpers.py|score=20|del=0|add=1;tests/test_objects.py|score=0|del=0|add=0
148101959305766,https://github.com/django-helpdesk/django-helpdesk/commit/04483bdac3b5196737516398b5ce0383875a5c60,process_attachments,CWE-79,missing_before_or_after_change_match,,helpdesk/lib.py|score=16|del=0|add=1
129818366594422,https://github.com/django/django/commit/00b0fc50e1738c7174c495464a5ef069408a4402,explain,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=57|del=0|add=5;tests/queries/test_explain.py|score=2|del=0|add=0;django/db/backends/postgresql/features.py|score=0|del=0|add=0;django/db/backends/postgresql/operations.py|score=0|del=0|add=0
51413008997357,https://github.com/django/django/commit/0dc9c016fadb71a067e5a42be30164e3f96c0492,as_sql,CWE-89,missing_before_or_after_change_match,,django/db/models/functions/datetime.py|score=26|del=0|add=2;django/db/backends/base/operations.py|score=0|del=0|add=0;tests/db_functions/datetime/test_extract_trunc.py|score=0|del=0|add=0
255287995686269,https://github.com/django/django/commit/2044dac5c6968441be6f534c4139bcf48c5c7e48,add_extra;add_annotation,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=30|del=0|add=2;tests/aggregation/tests.py|score=0|del=0|add=0;tests/annotations/tests.py|score=0|del=0|add=0;tests/expressions/test_queryset_values.py|score=0|del=0|add=0;tests/queries/tests.py|score=0|del=0|add=0
45664820667904,https://github.com/django/django/commit/29a6c98b4c13af82064f993f0acc6e8fafa4d3f5,explain,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=57|del=0|add=5;tests/queries/test_explain.py|score=2|del=0|add=0;django/db/backends/postgresql/features.py|score=0|del=0|add=0;django/db/backends/postgresql/operations.py|score=0|del=0|add=0
230125912425290,https://github.com/django/django/commit/2c09e68ec911919360d5f8502cefc312f9e03c5d,add_annotation;add_extra,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=30|del=0|add=2;tests/aggregation/tests.py|score=0|del=0|add=0;tests/annotations/tests.py|score=0|del=0|add=0;tests/expressions/test_queryset_values.py|score=0|del=0|add=0;tests/queries/tests.py|score=0|del=0|add=0
47525776778025,https://github.com/django/django/commit/4c241f1b710da6419d9dca160e80b23b82db7758,is_safe_url,CWE-79,missing_before_or_after_change_match,,django/utils/http.py|score=15|del=0|add=1;tests/regressiontests/utils/http.py|score=2|del=0|add=0
260997237107136,https://github.com/django/django/commit/6723a26e59b0b5429a0c5873941e01a2e1bdbb81,explain,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=57|del=0|add=5;tests/queries/test_explain.py|score=2|del=0|add=0;django/db/backends/postgresql/features.py|score=0|del=0|add=0;django/db/backends/postgresql/operations.py|score=0|del=0|add=0
280417974460137,https://github.com/django/django/commit/72e0b033662faa11bb7f516f18a132728aa0ae28,is_safe_url,CWE-79,missing_before_or_after_change_match,,django/utils/http.py|score=15|del=0|add=1;tests/utils_tests/test_http.py|score=2|del=0|add=0
167074958678102,https://github.com/django/django/commit/800828887a0509ad1162d6d407e94d8de7eafc60,add_annotation;add_extra,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=30|del=0|add=2;tests/aggregation/tests.py|score=0|del=0|add=0;tests/annotations/tests.py|score=0|del=0|add=0;tests/expressions/test_queryset_values.py|score=0|del=0|add=0;tests/queries/tests.py|score=0|del=0|add=0
77951739092777,https://github.com/django/django/commit/87d2750b39f6f2d54b7047225521a44dcd37e896,include_is_allowed,CWE-22,missing_before_or_after_change_match,,django/template/defaulttags.py|score=16|del=0|add=1;tests/regressiontests/templates/tests.py|score=0|del=0|add=0
251420549011851,https://github.com/django/django/commit/93cae5cb2f9a4ef1514cf1a41f714fef08005200,add_annotation;add_extra,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=30|del=0|add=2;tests/aggregation/tests.py|score=0|del=0|add=0;tests/annotations/tests.py|score=0|del=0|add=0;tests/expressions/test_queryset_values.py|score=0|del=0|add=0;tests/queries/tests.py|score=0|del=0|add=0
81469229403028,https://github.com/django/django/commit/988b61c550d798f9a66d17ee0511fb7a9a7f33ca,include_is_allowed,CWE-22,missing_before_or_after_change_match,,django/template/defaulttags.py|score=16|del=0|add=1;tests/regressiontests/templates/tests.py|score=0|del=0|add=0
215467495125765,https://github.com/django/django/commit/9e19accb6e0a00ba77d5a95a91675bf18877c72d,explain,CWE-89,missing_before_or_after_change_match,,django/db/models/sql/query.py|score=57|del=0|add=5;tests/queries/test_explain.py|score=2|del=0|add=0;django/db/backends/postgresql/features.py|score=0|del=0|add=0;django/db/backends/postgresql/operations.py|score=0|del=0|add=0
